platform,run_id,workload,roi,status,samples_successful,samples_failed,meets_sample_policy,repeat_kind,retired_per_sample,cpi_median,cpi_min,cpi_max,cycles_median,derived_ips_median,derived_ips_kind,frequency_hz,frequency_source,units_cpi,evidence
board,2026-09-21-board-s3-b0,perf01_cpi,alu,reported,5,0,True,same-session,30002,40.3421,40.3215,40.3617,1210343,991520.6,model-derived,40000000,configured,cycles/instruction,experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf01_cpi.1.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf01_cpi.2.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf01_cpi.3.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf01_cpi.4.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf01_cpi.5.out
board,2026-09-21-board-s3-b0,perf01_cpi,load,reported,5,0,True,same-session,30002,46.6769,46.6668,46.7027,1400400,856955.2,model-derived,40000000,configured,cycles/instruction,experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf01_cpi.1.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf01_cpi.2.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf01_cpi.3.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf01_cpi.4.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf01_cpi.5.out
board,2026-09-21-board-s3-b0,perf01_cpi,store,reported,5,0,True,same-session,30002,46.1783,46.1392,46.1824,1385442,866207.3,model-derived,40000000,configured,cycles/instruction,experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf01_cpi.1.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf01_cpi.2.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf01_cpi.3.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf01_cpi.4.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf01_cpi.5.out
board,2026-09-21-board-s3-b0,perf02_sv39,bare_alu,reported,5,0,True,same-session,30002,40.3316,40.3258,40.3523,1210030,991777.1,model-derived,40000000,configured,cycles/instruction,experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf02_sv39.1.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf02_sv39.2.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf02_sv39.3.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf02_sv39.4.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf02_sv39.5.out
board,2026-09-21-board-s3-b0,perf02_sv39,bare_load,reported,5,0,True,same-session,30002,46.8405,46.8336,46.8566,1405308,853962.3,model-derived,40000000,configured,cycles/instruction,experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf02_sv39.1.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf02_sv39.2.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf02_sv39.3.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf02_sv39.4.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf02_sv39.5.out
board,2026-09-21-board-s3-b0,perf02_sv39,mega_alu,reported,5,0,True,same-session,30002,82.6195,82.6081,82.6359,2478751,484147.1,model-derived,40000000,configured,cycles/instruction,experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf02_sv39.1.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf02_sv39.2.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf02_sv39.3.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf02_sv39.4.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf02_sv39.5.out
board,2026-09-21-board-s3-b0,perf02_sv39,mega_load,reported,5,0,True,same-session,30002,96.2189,96.1755,96.2464,2886759,415718.8,model-derived,40000000,configured,cycles/instruction,experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf02_sv39.1.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf02_sv39.2.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf02_sv39.3.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf02_sv39.4.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf02_sv39.5.out
board,2026-09-21-board-s3-b0,perf02_sv39,k4_alu,reported,5,0,True,same-session,30002,161.2964,161.2722,161.3276,4839216,247990.6,model-derived,40000000,configured,cycles/instruction,experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf02_sv39.1.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf02_sv39.2.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf02_sv39.3.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf02_sv39.4.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf02_sv39.5.out
board,2026-09-21-board-s3-b0,perf02_sv39,k4_load,reported,5,0,True,same-session,30002,188.1450,188.1138,188.1706,5644727,212602.0,model-derived,40000000,configured,cycles/instruction,experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf02_sv39.1.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf02_sv39.2.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf02_sv39.3.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf02_sv39.4.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf02_sv39.5.out
board,2026-09-21-board-s3-b0,perf03_fetch,insn32,reported,5,0,True,same-session,30002,40.3347,40.3309,40.3459,1210122,991701.7,model-derived,40000000,configured,cycles/instruction,experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf03_fetch.1.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf03_fetch.2.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf03_fetch.3.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf03_fetch.4.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf03_fetch.5.out
board,2026-09-21-board-s3-b0,perf03_fetch,insn16,reported,5,0,True,same-session,30002,21.6450,21.6341,21.6544,649393,1848002.7,model-derived,40000000,configured,cycles/instruction,experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf03_fetch.1.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf03_fetch.2.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf03_fetch.3.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf03_fetch.4.out;experiments/B0-measurement/runs/2026-09-21-board-s3-b0/raw/perf03_fetch.5.out
